TITULO_ORIGINAL;PUBLICO;ANO_LANCAMENTO;CLASSIFICACAO;GENEROS;ATORES_PRINCIPAIS;DIRETORES;PRODUTORAS
NOSFERATU;923967;2024;16;Terror, Fantasia;Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård, Aaron Taylor-Johnson, Willem Dafoe, Emma Corrin, Ralph Ineson, Simon McBurney, Adéla Hesová, Milena Konstantinova, Stacy Thunes, Gregory Gudgeon, Robert Russell, Curtis Matthew, Claudiu Trandafir, Gherghina Bereghianu, Jordan Haj, Kateřina Bílá, Maria Ion, Tereza Dušková, Liana Navrot, Mihai Verbintschi, Karel Dobrý, Andrei Sergeev, Matěj Beneš, Marek Pospíchal, Jan Filipenský, Alex East, Christian Dunkley-Clark, Andrea Miltner, Robin Finesilver, Paul Maynard, Charles Horne, Ella Bernstein, Meredith Digings;Robert Eggers;Focus Features, Studio 8, Maiden Voyage Pictures, Birch Hill Road Entertainment
SCREAM;903428;2026;18;Terror, Mistério, Crime;Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding, Roger L. Jackson, Anna Camp, Joel McHale, Celeste O'Connor, Sam Rechner, Asa Germann, Mckenna Grace, Matthew Lillard, Kraig Dane, Ethan Embry, Mark Consuelos, Victor Turpin, Amy Louise Pemberton, Cyle Winters, Anah Diamanty, Josh Thrower, Timothy Simons, Jason Burkey, Carol Hickey, David Arquette, Scott Foley, Laurie Metcalf, Michelle Randolph, Jimmy Tatro, Maggie Toomey, Annabelle Toomey, Jeremy Conner;Kevin Williamson;Paramount Pictures, Spyglass Media Group, Project X Entertainment
RED ONE;903160;2022;12;Animação, Aventura, Ação, Fantasia;Mayumi Tanaka, Kazuya Nakai, 池田秀一, 名塚佳織, Akemi Okamura, Kappei Yamaguchi, Hiroaki Hirata, Ikue Otani, Yuriko Yamaguchi, Kazuki Yao, Cho, Katsuhisa Houki, Kenjiro Tsuda, Yuki Yamada, 粗品, せいや, 新津ちせ, Yuki Kaji, 桑島法子, 田原アルノ, 土門仁, 小林通孝, 小野健一, 島田敏, Issei Futamata, Hikaru Midorikawa, 中田譲治, 斎藤志郎, Hiroshi Kamiya, 高戸靖広, Reina Ueda, Showtaro Morikubo, 土井美加, 永野広一, 中村浩太郎, Shinichiro Ohta, 沢木郁也, Ryotaro Okiayu, Fumihiko Tachiki, Tomokazu Seki, 佐々木誠二, 渡辺久美子, 進藤尚美, 野田圭一, Masato Hirano, Kenichi Ogata, 増谷康紀, Mami Koyama, Tomokazu Sugita, 木村雅史, 三田ゆう子, Yuuya Uchida, Mahito Ohba, Ado;谷口悟朗;Toei Animation, Shueisha, Toei Company, Fuji Television Network, Bandai, Bandai Namco Entertainment, ADK Emotions, dentsu
GEOSTORM;902337;2017;12;Ação, Ficção científica, Thriller;Gerard Butler, Alexandra Maria Lara, Jim Sturgess, Abbie Cornish, Ed Harris, Andy Garcia, Zazie Beetz, Eugenio Derbez, Robert Sheehan, David S. Lee, Talitha Eliana Bateman, 吳彥祖, Adepero Oduye, Amr Waked, Richard Schiff, Billy Slaughter, Tom Choi, Mare Winningham, Daniella Garcia, Ritchie Montgomery, Judd Lormand, Corey Mendell Parker, Catherine Ashton, Arnold Chun, Randall Newsome, Sean Paul Braud, Anastasiya Rul, Julia Denton, Carlos Antonio, Joe Drago, Douglas M. Griffin, Blake Burt, Derek Roberts, Randy Havens, Edgar Leza, Aaron Mitchell, Hannah Devlin;Dean Devlin;Twisted Media, Skydance Media, RatPac Entertainment, Electric Entertainment, Warner Bros. Pictures, October Pictures
TOMB RAIDER;887969;2018;14;Ação, Aventura, Fantasia;Alicia Vikander, Dominic West, Walton Goggins, 吳彥祖, Kristin Scott Thomas, Derek Jacobi, Alexandre Willaume, Tamer Burjaq, Adrian Collins, Keenan Arrison, Andrian Mazive, Milton Schorr, Hannah John-Kamen, Peter Waison, Samuel Mak, Sky Yang, Civic Chung, Josef Altin, Billy Postlethwaite, Roger Jean Nsengiyumva, Jaime Winstone, Michael Obiora, Shekhar Varma, Rekha John-Cheriyan, Antonio Aakeel, Maisy De Freitas, Emily Carey, Gordon Chow, Duncan Airlie James, Jandre le Roux, Vere Tindale, Annabel Wood, Kenneth Fok, Maruwan Gasant, Nick Frost, Sarah Sayuri Hare;Roar Uthaug;Square Enix, GK Films, Metro-Goldwyn-Mayer, Warner Bros. Pictures
ROBIN HOOD;882778;2013;Não Informado;Thriller, Ação, Drama;Ken Duken, Dagny Dewath, Matthias Koeberlin, Stipe Erceg, Thomas Thieme, Vinzenz Kiefer, David Steffen, Melanie Blocksdorf, Mathis Landwehr, Andreas Hofer, Marilena Netzker, Christian Alexander Koch, Yara Blümel, Mario Ganß, Klaudia Golberg-Dohrmann;Martin Schreier;Pro7, teamWorx
DARK TOWER;879504;2017;12;Fantasia, Ação, Ficção científica;Idris Elba, Matthew McConaughey, Tom Taylor, 수현, Fran Kranz, Abbey Lee, Jackie Earle Haley, Katheryn Winnick, Dennis Haysbert, Michael Barbieri, José Zúñiga, Alex McGregor, Nicholas Hamilton, Nicholas Pauling, Eva Kaminsky, Robbie McLean, Matthew Thomson, Karl Thaning, Lemogang Tsipa, Robert Whitehead, Leeanda Reddy, Kenneth Fok, Charlize Churcher, Ben Gavin, Sara Cicilian, Lara Adine Lipschitz, Jabari Gray, Paul Riley Fox, Mark Elderkin, Joe Vaz, Christopher Stein, Andre Robinson, Alfredo Narciso, Dan Hirst, Zak Rowlands, Christiaan Schoombie, Cassiel Eatock-Winnik, Marmee Regine Cosico, Bill Walters, Inge Beckmann, Reon Van Der Watt, Richard Lothian, Larry Nuñez, Michael Basile, Warren Masemola, Emily Child, Zanne Solomon, Mary Twala, Sarah Potter, Andrew Laubscher, Dominique Nieves;Nikolaj Arcel;Columbia Pictures, MRC, Imagine Entertainment, Weed Road Pictures
SPACE JAM: A NEW LEGACY;870423;2021;L;Família, Comédia, Aventura, Animação, Ficção científica;LeBron James, Don Cheadle, Cedric Joe, Jeff Bergman, Gabriel Iglesias, Zendaya, Eric Bauza, Candi Milo, Bob Bergen, Fred Tatasciore, Anthony Davis, Damian Lillard, Klay Thompson, Nneka Ogwumike, Diana Taurasi, Sonequa Martin-Green, Ceyair J Wright, Harper Leigh Alexander, Khris Davis, Xosha Roquemore, Stephen Kankole, Jalyn Hall, Wood Harris, Jordan Thomas, Sue Bird, Draymond Green, A'ja Wilson, Randy Mims, Gerald 'Slink' Johnson, Sarah Silverman, Steven Yeun, Ernie Johnson, Lil Rel Howery, Michael B. Jordan, Rosario Dawson, Justin Roiland, Kimberly Brooks, Skyler Bible, Chuck Lines;Malcolm D. Lee;Warner Animation Group, Proximity Media, Warner Bros. Pictures, The SpringHill Company
THE ANGRY BIRDS MOVIE 2;867310;2019;L;Animação, Aventura, Comédia, Família;Jason Sudeikis, Josh Gad, Danny McBride, Leslie Jones, Bill Hader, Rachel Bloom, Awkwafina, Sterling K. Brown, Eugenio Derbez, Tiffany Haddish, Peter Dinklage, Pete Davidson, Zach Woods, Dove Cameron, Maya Rudolph, JoJo Siwa, Tony Hale, Lil Rel Howery, Nicki Minaj, Beck Bennett, Gaten Matarazzo, Brooklynn Prince, Genesis Tennon, Alma Versano, Faith Margaret Kidman-Urban, Sunday Rose Kidman-Urban, Colleen Ballinger, David Dobrik, Alex Hirsch, Anthony Padilla, Mason Ramsey, Thurop Van Orman, Ally Garrett, John Cohen, Sean Charmatz, Kelly Prizeman, Nolan North, Josh Engel, Suzanne Waters, Asher Bishop, Hazel Van Orman, Leif Van Orman, David C. Smith, John Rice, Nova Reed, Kaci Simotas, Eliza Cohen, Samantha Cohen, Isla Andrews, Newell Alexander, Rosemary Alexander, Steve Alterman, Stephen Apostolina, Susan Boyajian, Tom Bromhead, Mitch Carter, Brook Chalmers, June Christopher, David Cowgill, Peter Falls, Jeff Fischer, Jackie Gonneau, Grey DeLisle, Bridget Hoffman, Richard Steven Horvitz, Rif Hutton, Joyce Kurtz, Joanna Leeds, Scott Menville, David Michie, Edie Mirman, Juan Pope, Michelle Ruff, Michael Sorich, Kelly Stables, Lynnanne Zager, Richard McGregor;Thurop Van Orman;Rovio Animation, Columbia Pictures, Sony Pictures Animation, Rovio Entertainment
DC LEAGUE OF SUPERPETS;866470;2022;L;Família, Comédia, Aventura, Animação, Ficção científica;Dwayne Johnson, Kevin Hart, John Krasinski, Keanu Reeves, Kate McKinnon, Vanessa Bayer, Natasha Lyonne, Diego Luna, Jameela Jamil, Marc Maron, Dascha Polanco, Olivia Wilde, Jemaine Clement, Daveed Diggs, John Early, Ben Schwartz, Thomas Middleditch, Maya Erskine, Yvette Nicole Brown, Alfred Molina, Lena Headey, Keith David, Busy Philipps, Dan Fogler, Winona Bradshaw, David Pressman, Sam Levine, Jared Stern, Michelle Morgan, Amanda Ames, Gavin McCrillis, Richard Arnold;Jared Stern;Warner Animation Group, Seven Bucks Productions, Animal Logic, DC
THE SHAPE OF WATER;865923;2017;16;Drama, Fantasia, Romance;Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer, Michael Stuhlbarg, Doug Jones, David Hewlett, Nick Searcy, Stewart Arnott, Nigel Bennett, Lauren Lee Smith, Martin Roach, Allegra Fulton, John Kapelos, Morgan Kelly, Marvin Kaye, Dru Viergever, Wendy Lyon, Cody Ray Thompson, Diego Fuentes, Madison Ferguson, Jayden Greig, Karen Glave, Danny Waugh, Dan Lett, Deney Forrest, Brandon McKnight, Clyde Whitham, Jonelle Gunderson, Cameron Laurie, Evgeny Akimov, Sergey Nikonov, Vanessa Oude-Reimerink, Alexey Pankratov, Dave Reachill, Amanda Smith, Maxine Grossman, Matthew MacCallum, Victoria Charters;Guillermo del Toro;Double Dare You, Fox Searchlight Pictures, Bull Productions, TSG Entertainment
MAMONAS ASSASSINAS O FILME;865270;2023;12;Comédia, Música;Ruy Brissac, Rhener Freitas, Adriano Tunes, Robson Lima, Beto Hinoto, Ton Prado, Jarbas Homem de Mello, Guta Ruiz, Fernanda Schneider, Jessica Córes, Joãozinho, Isabella Prezotto, Nadine Gerloff, Cristina Sano, Felipe Hideky, Ronaldo Mourão, Simoni Boer, Nathalia Serra, Pedro Abranches, Nathalia Macor, Patrick Amstalden, Graciely Junqueira, Pedro Pauleey, Giulia Shanti, Lisandra Parede, Isabela Quadros, Willians Mezzacapa, Leandro Luna, Pedro Scalice, Alex Gruli, Thiago Adorno, Davi Novaes, Yuri Batista Martins, Mauro Schames, Diego Gazin, Eduardo Acaiabe, Victoria Ariante, Marília Viana, Ronaldo Gontijo, Raissa Moraes, Mauri Lima, Giovanna Reis, Elder Torres, Rafael Monteiro, Vicenzo de Franco;Edson Spinello;Total Entertainment, Mamonas Assassinas Produções, Claro
SINNERS;852405;2025;16;Terror, Ação, Thriller;Michael B. Jordan, Hailee Steinfeld, Miles Caton, Jack O'Connell, Wunmi Mosaku, Jayme Lawson, Omar Benson Miller, Delroy Lindo, Li Jun Li, Yao, Lola Kirke, Peter Dreimanis, Buddy Guy, Saul Williams, Andrene Ward-Hammond, Tenaj L. Jackson, Dave Maldonado, Aadyn Encalarde, Helena Hu, Sam Malone, Ja'Quan Monroe-Henderson, Percy Bell, Emonie Ellison, Kai Thompson, Nathaniel Arcand, Mark L. Patrick, Gralen Bryant Banks, Nicoye Banks, Christian Robinson, Justin William Davis, Deneen Tyler, Michael A. Newcomer, Theodus Crane, Kendalyn Dene Breakfield, Airelle Brooks, Gabriel Cavallini, Jeremy Denzel, Le'Andre Douglas, Akeem J. Edwards, Arouna Guindo, Jarrell Hamilton, Leroy Harris Jr., Jeoffrey Harris Jr., Alex Huynh, Ritho Johnson, Donald Jones Jr., Breonna Jordan, Trinity Jaden Mitchell, Ian Monroe, Cuso Mora, Winnie Mu, Jahaira Myers, Andrea Peoples, Phyouture, Faith Rockward, Ahmari Vaughn, Tyler Wilson;Ryan Coogler;Warner Bros. Pictures, Proximity Media, Domain Entertainment
CREED III;847066;2023;12;Drama, Ação;Michael B. Jordan, Tessa Thompson, Jonathan Majors, Phylicia Rashād, Mila Davis-Kent, Wood Harris, José Benavidez Jr., Florian Munteanu, Selenis Leyva, Thaddeus J. Mixson, Spence Moore II, Tony Bellew, Ann Najjar, Jacob 'Stitch' Duran, Terence Crawford, Bobby Hernandez, Yahya McClain, Lamont Lankford, Corey Calliet, Kenny Bayless, Todd Grisham, Jessica McCaskill, Maya Page, Jimmy Lennon Jr., Russell Mora, Al Bernstein, Mauro Ranallo, Brianna Valeria Gonzalez Vazquez, Shayra Medal, Kimberly Dawn Davis, David Diamante, Tony Weeks, Chris Mannix, Andreia Gibau, Soraya Yd, Stephen A. Smith, Barry Pepper, Jessica Holmes, Canelo Álvarez, Fernanda Gomez, Kehlani, Jeremy Lee Stone, Aaron D. Alexander, Brian Neal, Corey Hibbert, James Harden, Jove Edmond, Engle Files, Michael A. Jordan, Natasha Ofili, Rose Eshay, Alan Boell, Eli Joshua Adé, Butch Locsin, Stefni Valencia, Bella Dee, Anastasia Wilson, Beth Scherr, Teófimo López, Patrice Harris;Michael B. Jordan;Metro-Goldwyn-Mayer, Proximity Media, Outlier Society, Winkler Films
DOLITTLE;844650;2020;10;Família, Comédia, Fantasia, Aventura;Robert Downey Jr., Harry Collett, Michael Sheen, Jim Broadbent, Antonio Banderas, Rami Malek, Jessie Buckley, Emma Thompson, John Cena, Kumail Nanjiani, Craig Robinson, Ralph Fiennes, Tom Holland, Octavia Spencer, Selena Gomez, Marion Cotillard, Kasia Smutniak, Carmel Laniado, Frances de la Tour, Jason Mantzoukas, Ralph Ineson, Joanna Page, Sonny Ashbourne Serkis, Oliver Chris, Clive Francis, Paul Holowaty, Elliot Barnes-Worrell, Mark Umbers, David Sheinkopf, Sid Sagar, Martin Pemberton, Tim Treloar, Jim Carretta, Nick Fisher, Matt King, Ranjani Brow, Kelly Stables, Scott Menville, Gia Davis, Henry Holcomb, Kyrie McAlpin, Isley Zamora, Stewart Scudamore, Samson Kayo, John-Luke Roberts, Joseph Balderrama, Daniel Hoffmann-Gill, Jane Leaney, Josh Jefferies, Shaun McKee, Richard Soames, Will Arnett;Stephen Gaghan;Universal Pictures, Team Downey, Perfect World Pictures, Roth-Kirschenbaum Films
THE NUTCRACKER AND THE FOUR REALMS;844639;2018;L;Família, Fantasia, Aventura;Mackenzie Foy, Jayden Fowora-Knight, Tom Sweet, Keira Knightley, Helen Mirren, Morgan Freeman, Eugenio Derbez, Matthew Macfadyen, Richard E. Grant, Сергей Полунин, Misty Copeland, Anna Madeley, Ellie Bamber, Jack Whitehall, Omid Djalili, Gustavo Dudamel, Nick Mohammed, Charles Streeter, Craig Garner, Meera Syal, Max Westwell, Aaron Smyth, Sophie Apollonia, Zoe Arshamian, Diogo Barbosa, Harris Bell, Julia Conway, James Butcher, Jonathan Caguioa, Lil Buck, Ocean Navarro, Gemma Wilks, Trent Owers, Bethany Harrison, Finley Howard, Joshua Viner;Lasse Hallström, Joe Johnston;Walt Disney Pictures, The Mark Gordon Company
NAPOLEON;843557;2023;16;História, Guerra, Romance;Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett, Mark Bonnar, Paul Rhys, Ben Miles, Riana Duce, Edouard Philipponnat, Miles Jupp, Scott Handy, Youssef Kerkour, John Hollingworth, Abubakar Salim, Thom Ashley, Jannis Niewöhner, Julian Rhind-Tutt, John Hodgkinson, Erin Ainsworth, Isabella Brownson, Benjamin Chivers, Sam Meakin, Sinéad Cusack, Harriet Bunton, Charlie Greenwood, Audrey Brisson-Jutras, Matthew Needham, Sam Crane, Sam Troughton, Edward Bennett, Julian Wadham, Ludivine Sagnier, Catherine Walker, Honor Kneafsey, Alexander Shaw, Phil Cornwell, Harry Taurasi, Edward Mercieca, Arthur McBain, Andy Burse, Jonathan Rice, Emeric Bernard-Jones, Bay Bryan, Michael Twaits, Michael O'Connor, Dominic Coleman, Ian McNeice, Richard McCabe, Tom Godwin, Gavin Spokes, Catherine Harvey, David Verrey, Benedict Martin, Edward Hogg, Ed Hughes, Jonathan Barnwell, Robin Soans, Abigail Weinstock, Bart Lambert, Joshua Leese, Nicholas Shaw, Anna Mawn, Imogen Slaughter, Mitchell Baggott, Ned Costello, John Mula, Kevin Eldon, Henry Morgan, Logan Truter, Saxon Fox, Richard Leeming, Billy Byers, Tim Faulkner, Peter Sandys-Clarke, Tim Delap, Charlie Barrett, Olivia Juno Cleverley, Sophie Wohlfeld, Cormac Hyde-Corrin, Hal Gavin, Michael Nardone, Chris Barltrop, Robert Goodman, Sophie Lund, Oliver Phillips, Morgan Watkins, Ed Eales White, Jacob Marshfield, Jean-Pascal Heynemand;Ridley Scott;Apple Studios, Scott Free Productions
VAI QUE COLA 2 - O COMEÇO;842793;2019;10;Comédia;Samantha Schmütz, Marcus Majella, Cacau Protásio, Catarina Abdala, Emiliano D'Ávila, Sílvio Guindane, Fiorella Mattheis, Érico Brás, Alice Morena, Paulinho Serra, Sérgio Mallandro, Mary Sheila, Marcelo Médici, Fábio Lago, Ney Lima, Diego Becker, Joelson Medeiros, Bruno Bennec;César Rodrigues;Globo Filmes, Universal Pictures do Brasil, Conspiração Filmes, A Fábrica
GODZILLA VS. KONG;840788;2021;14;Ação, Ficção científica, Aventura;Alexander Skarsgård, Rebecca Hall, Kaylee Hottle, Brian Tyree Henry, Millie Bobby Brown, Julian Dennison, Demián Bichir, Eiza González, Shun Oguri, Kyle Chandler, Lance Reddick, Hakeem Kae-Kazim, Ronny Chieng, John Pirruccello, Chris Chalk, Conlan Casal, Brad McMurray, Benjamin Rigby, Nick Turello, Daniel Nelson, Priscilla Doueihy, Kei Kudo, Brad Buckley, John Walton, Daniel Tuiara, David Castillo, Kofi Yiadom, Jim Palmer, Drew Walton, Tara Wraith, Jason Virgil, Grisel Toledo, Jason Szabo, Jason Speer, Sen Shao, Scott M. Schewe, Charles Sans, Tasneem Roc, Jon Quested, Joel Pierce, Sofia Nolan, Shawn McBride, Victoria Liu, Sonny Le, Santi Lawson, Garreth Hadfield, Ashley Change, Curtis Bush;Adam Wingard;Legendary Pictures
INSIDIOUS: THE RED DOOR;837397;2023;12;Terror, Thriller;Rose Byrne, Ty Simpkins, Patrick Wilson, Lin Shaye, Sinclair Daniel, Hiam Abbass, Andrew Astor, Juliana Davies, Steve Coulter, Peter Dager, Joseph Bishara, Angus Sampson, Leigh Whannell, Justin Sturgis, David Call, Stephen Gray, Robin S. Walker, Bridget Kim, Logan Wilson, Kasjan Wilson, Mary Looram, Adrian Acosta, AJ Dyer, Kalin Wilson, E. Roger Mitchell, Dagmara Dominczyk, Tom Toland, Elaine Apruzzese, Suki Úna Rae, Desi Ramos, Victorya Danylko-Petrovskaya;Patrick Wilson;Blumhouse Productions, Stage 6 Films, Screen Gems
THE CROODS: A NEW AGE;833381;2020;L;Animação, Família, Aventura, Fantasia, Comédia;Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener, Cloris Leachman, Clark Duke, Leslie Mann, Peter Dinklage, Kelly Marie Tran, Kailey Crawford, Chris Sanders, James Ryan, Gabriel Jack, Melissa Disney, Joel Crawford, Januel Mercado, Ryan Naylor, Artemis Pebdani;Joel Crawford;DreamWorks Animation
DUNE;824850;2021;14;Ficção científica, Aventura;Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson, Josh Brolin, Javier Bardem, Sharon Duncan-Brewster, 張震, Dave Bautista, David Dastmalchian, Zendaya, Charlotte Rampling, Babs Olusanmokun, Benjamin Clementine, Souad Faress, Golda Rosheuvel, Roger Yuan, Seun Shote, Neil Bell, Oliver Ryan, Stephen Collins, Charlie Rawes, Richard Carter, Benjamin Dilloway, Elmi Rashid Elmi, Tachia Newall, Gloria Obianyo, Fehinti Balogun, Dora Kápolnai-Schvab, Joelle, Jimmy Walker, Paul Bullion, Milena Sidorova, János Timkó, Jean Gilpin, Marianne Faithfull, Ellen Dubin;Denis Villeneuve;Legendary Pictures
THE EQUALIZER 2;822317;2018;16;Ação, Thriller, Crime;Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean, Bill Pullman, Melissa Leo, Jonathan Scarfe, Sakina Jaffrey, Kazy Tauginas, Garrett Golden, Adam Karst, Alican Barlas, Rhys Olivia Cote, Tamara Hickey, Ken Baltin, Colin Allen, Antoine de Lartigue, Abigail Marlowe, Jim Loutzenhiser, Alessandra Noelle Rosenfeld, Lillie Dickens, Rex Baning, Lance A. Williams, Caroline Day, Rory Benjamin Smith, Ted Arcidi, Junior Cius, Wesley Pereira, David Carrasquillo, Nathaniel Chaney, Jermaine Holt, Drew Cooper, Jay Hieron, Naheem Garcia, Gloria Papert, Phil Tavares, Tim Doherty, CJ Stuart, Donald Cerrone, Gabrielle Lorthe, Karen Strong, Marley Dauphin, Elena Capaldi, Penélope de la Rosa, Miguel Nascimento, Maximillian McNamara, Kevin Chapman, Phyllis Kay, Johnny L. Hernandez, Andrei Arlovski, Liam McNeill, Arthur Hiou, Lance Norris, Enku Gubaie, Jeff Bellin, GeGe Jackson;Antoine Fuqua;Lonetree Entertainment, Fuqua Films, Escape Artists, Sony Pictures, ZHIV Productions, Mace Neufeld Productions, Columbia Pictures
TURMA DA MÔNICA: LIÇÕES;818197;2021;L;Família, Comédia, Drama, Aventura;Giulia Benite, Kevin Vechiatto, Laura Rauseo, Gabriel Moreira, Emilly Nayara, Laís Villela, Vinícius Higo, Lucas Infante, Monica Iozzi, Luiz Pacini, Fafá Rennó, Paulo Vilhena, Marcela Rosis, Beto Schultz, Angélica di Paula, Adriano Paixão, Ilma Germano, Pablo Germano, Malu Mader, Augusto Madeira, Eliana Fonseca, Isabelle Drummond, Gustavo Merighi, Camila Brandão, Fernando Mais, Rodrigo Kenji, Tiago Schmitt, Giovani Donato, Vitor Queiroz, Marcos Bojar, João Gabriel Amaral, Thiago Blasi, Helena Betti Dias, Kauã Soares, João Chicarelli, Amanda Brandão, Bento Ribeiro Blat, Rodrigo Blasi, Léo Fernandes, Maria Cecília Mansur, Renato Almeida, Wally Araújo, Bia Câmara, Adriano Bolshi, Luciana Baptista, Leandro Ramos, Felipe Riquelme, Ronaldo de Azevedo, Felipe Castanhari, Telma Souza, Vitor Cafaggi, Sidney Gusman, Mônica Sousa, Mauricio de Sousa;Daniel Rezende;Biônica Filmes, Mauricio de Sousa Produções, Globo Filmes, Paramount Pictures Brasil, Paris Entretenimento, Paris Filmes, Quintal Digital, Latina Estúdio, Agência Nacional do Cinema - ANCINE
NOPE;817895;2022;14;Terror, Ficção científica;Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott, Steven Yeun, Wrenn Schmidt, Keith David, Devon Graye, Terry Notary, Barbie Ferreira, Donna Mills, Osgood Perkins, Eddie Jemison, Jacob Kim, Sophia Coto, Jennifer Lafleur, Andrew Patrick Ralston, Lincoln Lambert, Pierce Kang, Roman Gross, Alex Hyde-White, Hetty Chang, Liza Treyger, Ryan W. Garcia, Courtney Elizabeth, Caden J. Lovgren, Malcolm Jae O'Shea, Evan Shafran, Mark Casimir Dyniewicz Jr., Haley Babula;Jordan Peele;Universal Pictures, Monkeypaw Productions
GEMINI MAN;815675;2019;14;Ficção científica, Ação, Aventura, Thriller, Drama;Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong, Douglas Hodge, Ralph Brown, Linda Emond, Ilia Volok, E.J. Bonilla, Victor Hugo, David Shae, Theodora Miranne, Diego Adonye, Lilla Banak, Igor Szasz, Alexa GyÖrgy, Fernanda Dorogi, Alexandra Szucs, Tim Connolly, Daniel Salyers, Jordan Sherley, Tony J. Scott, Jeff J.J. Authors, Justin James Boykin, Karis Wymbs, Frankie Verroca, Balázs Veres, Adrian Valle Torres, Ashton Tatum, Ferenc Iván Szabó, Dillon John Swanson, Saskia Slaaf, Kenny Sheard, Carl Salonen, Brianna Robinson, Hannah Pniewski, Thanh-Huy Phan, Zach Mellado, Samantha Kudler, Frankie Justin, Douglas Rizzo Johnson, Dawit Gulilat, Samantha Goldman, Chris Goad, Björn Freiberg, Christopher T. Elliott, Marc Demeter, William Caraballo, Olivia Bailey, Daniel Annone, Christon Andell;Ang Lee;Skydance Media, Jerry Bruckheimer Films, Fosun Pictures, Paramount Pictures, Alibaba Pictures Group
DUNKIRK;791222;2017;14;Guerra, Ação, Drama;Fionn Whitehead, Tom Hardy, Mark Rylance, Kenneth Branagh, Cillian Murphy, Barry Keoghan, Harry Styles, Aneurin Barnard, Damien Bonnard, Lee Armstrong, James Bloor, Tom Glynn-Carney, Jack Lowden, Luke Thompson, Michel Biel, Constantin Balsan, Billy Howle, Mikey Collins, Callum Blake, Dean Ridge, Bobby Lockwood, Will Attenborough, Tom Nolan, James D'Arcy, Matthew Marsh, Adam Long, Miranda Nolan, Bradley Hall, Jack Cutmore-Scott, Brett Lorenzini, Michael Fox, Brian Vernel, Elliott Tittensor, Kevin Guthrie, Harry Richardson, Jochum ten Haaf, Johnny Gibbon, Richard Sanderson, Kim Hartman, Calam Lynch, Charley Palmer Rothwell, Tom Gill, John Nolan, Bill Milner, Jack Riddiford, Harry Collett, Eric Richard, Michael Caine, Johnny Otto, Nick Howden-Steenstra;Christopher Nolan;Warner Bros. Pictures, Syncopy, Dombey Street Productions
WONDER PARK;788355;2019;L;Comédia, Animação, Aventura, Família, Fantasia;Brianna Denski, Norbert Leo Butz, Ken Hudson Campbell, Mila Kunis, John Oliver, Kenan Thompson, Ken Jeong, Jennifer Garner, Matthew Broderick, Sofia Mali, Aryan Simhadri, Jolie Hoang-Rappaport, Kevin Chamberlin, Kate McGregor-Stewart, Kath Soucie, Lisa Foiles;Dylan Brown;Nickelodeon Movies, Paramount Animation, Ilion Animation Studios, Paramount Pictures
SAW X;786518;2023;18;Terror, Mistério;Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand, Renata Vaca, Joshua Okamoto, Octavio Hinojosa Martínez, Paulette Hernández, Jorge Briseño, Michael Beach, Costas Mandylor, Isan Beomhyun Lee, David Alfano, Katie Barberi, Lucía Gómez-Robledo, Donagh Gordon, Sebastián Torres, Cristo Ruiz, Baltimore Beltrán, Kerry Ardra, Natasha Goss, Craig Hurley, James Burg, Bailey Guidry;Kevin Greutert;Twisted Pictures, Serendipity Productions, Galaxy 8 Entertainment
GRETEL & HANSEL (2020);784562;2020;14;Fantasia, Terror, Mistério;Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw, Charles Babalola, Fiona O'Shaughnessy, Donncha Crowley, Jonathan Gunning, Beatrix Perkins, Abdul Alshareef, Manuel Pombo, Ian Kenny, Jonathan Delaney Tynan, Melody Carrillo, Darlene Garr, Nessa Last, Harry O'Cualacháin;Osgood Perkins;Automatik Entertainment, Bron Studios, Orion Pictures
THE PREDATOR;783453;2018;18;Ficção científica, Ação, Thriller;Boyd Holbrook, Trevante Rhodes, Sterling K. Brown, Jacob Tremblay, Keegan-Michael Key, Olivia Munn, Thomas Jane, Alfie Allen, Augusto Aguilera, Jake Busey, Yvonne Strahovski, Brian A. Prince, Mike Dopud, Niall Matter, Javier Lacroix, Gabriel LaBelle, Nikolas Dukic, RJ Fetherstonhaugh, James S. Salisbury, Garry Chalk, Duncan Fraser, Emy Aneke, Darryl Scheelar, Fraser Aitcheson, Eduard Witzke, Jan Bos, Lochlyn Munro, Françoise Yip, Rhys Williams, Malcolm Masters, Harrison MacDonald, Sage Brocklebank, Coulton Jackson, Sean Owen Roberts, Colin Corrigan, Anousha Alamian, Ryan Scramstad, Patrick Sabongui, J.C. Williams, Sean Kohnke, Juan Pacheco, Lars Grant, Byron Brisco, Fraser Corbett, Chad Bellamy, Peter Shinkoda, Aaron Craven;Shane Black;Davis Entertainment, TSG Entertainment, 20th Century Fox
